
out\HighwayEnv\DQNAgent\run_20201221-235341_18428_exp_merge_705,exp_merge_705 similar to 700_Base with initial_position= 90 and random_offset_merging= 15 and speed= 25
out\HighwayEnv\DQNAgent\run_20201221-235354_18812_exp_merge_706,exp_merge_706 similar to 700_Base with initial_position= 95 and random_offset_merging= 15 and speed= 20
out\HighwayEnv\DQNAgent\run_20201221-235446_32568_exp_merge_707,exp_merge_707 similar to 700_Base with initial_position= 95 and random_offset_merging= 15 and speed= 22
out\HighwayEnv\DQNAgent\run_20201224-002025_26720_exp_merge_708,exp_merge_708 similar to 700_Base with initial_position= 95 and random_offset_merging= 15 and speed= 25
out\HighwayEnv\DQNAgent\run_20201224-002038_34512_exp_merge_709,exp_merge_709 similar to 700_Base with initial_position= 100 and random_offset_merging= 15 and speed= 20
out\HighwayEnv\DQNAgent\run_20201224-002052_12764_exp_merge_710,exp_merge_710 similar to 700_Base with initial_position= 100 and random_offset_merging= 15 and speed= 22
out\HighwayEnv\DQNAgent\run_20201224-002103_16500_exp_merge_711,exp_merge_711 similar to 700_Base with initial_position= 100 and random_offset_merging= 15 and speed= 25
out\HighwayEnv\DQNAgent\run_20201224-003131_30900_exp_merge_800,exp_merge_800 similar to 800_Base with initial_position= 85 and random_offset_merging= 15 and speed= 22
out\HighwayEnv\DQNAgent\run_20201224-003142_29200_exp_merge_801,exp_merge_801 similar to 800_Base with initial_position= 85 and random_offset_merging= 15 and speed= 25
out\HighwayEnv\DQNAgent\run_20201224-003221_13352_exp_merge_802,exp_merge_802 similar to 800_Base with initial_position= 90 and random_offset_merging= 15 and speed= 22
out\HighwayEnv\DQNAgent\run_20201224-003233_30316_exp_merge_803,exp_merge_803 similar to 800_Base with initial_position= 90 and random_offset_merging= 15 and speed= 25
out\HighwayEnv\DQNAgent\run_20201225-004815_19364_exp_merge_900,exp_merge_900 similar to 900_Base with initial_position= 85 and random_offset_merging= 2 and speed= 25
out\HighwayEnv\DQNAgent\run_20201225-004826_29144_exp_merge_901,exp_merge_901 similar to 900_Base with initial_position= 85 and random_offset_merging= 5 and speed= 25
out\HighwayEnv\DQNAgent\run_20201225-004853_31024_exp_merge_902,exp_merge_902 similar to 900_Base with initial_position= 85 and random_offset_merging= 10 and speed= 25
out\HighwayEnv\DQNAgent\run_20201225-004913_30776_exp_merge_903,exp_merge_903 similar to 900_Base with initial_position= 85 and random_offset_merging= 15 and speed= 25
out\HighwayEnv\DQNAgent\run_20201225-004925_6896_exp_merge_904,exp_merge_904 similar to 900_Base with initial_position= 85 and random_offset_merging= 20 and speed= 25
out\HighwayEnv\DQNAgent\run_20201225-004939_11272_exp_merge_905,exp_merge_905 similar to 900_Base with initial_position= 90 and random_offset_merging= 2 and speed= 25
out\HighwayEnv\DQNAgent\run_20201225-004951_32116_exp_merge_906,exp_merge_906 similar to 900_Base with initial_position= 90 and random_offset_merging= 5 and speed= 25
out\HighwayEnv\DQNAgent\run_20201225-005007_26332_exp_merge_907,exp_merge_907 similar to 900_Base with initial_position= 90 and random_offset_merging= 10 and speed= 25
out\HighwayEnv\DQNAgent\run_20201225-005021_20012_exp_merge_908,exp_merge_908 similar to 900_Base with initial_position= 90 and random_offset_merging= 15 and speed= 25
out\HighwayEnv\DQNAgent\run_20201225-005120_33448_exp_merge_909,exp_merge_909 similar to 900_Base with initial_position= 90 and random_offset_merging= 20 and speed= 25
out\HighwayEnv\DQNAgent\run_20210113-155250_10164_exp_merge_900,exp_merge_900 similar to 900_Base with initial_position= 85 and random_offset_merging= 2 and speed= 25

