out\HighwayEnv\DQNAgent\test\run_20210218-213658_6720_exp_merge_IROS_5003-test,"exp_merge_5003 similar to configs/experiments/IROS/exp_merge_IROS_5000base-1.json exploration EpsilonGreedyLinear tau 20000 observation_shape [200, 64] history_stack_size 5 network ConvNet3D"

out\HighwayEnv\DQNAgent\run_20210218-214109_23652_exp_merge_IROS_6005,exp_merge_IROS_6000s

out\HighwayEnv\DQNAgent\test\run_20210218-214109_23652_exp_merge_IROS_6005-test,exp_merge_IROS_6000s

out\HighwayEnv\DQNAgent\train\run_20210219-003632_23976_exp_merge_IROS_5012,"exp_merge_5012 similar to configs/experiments/IROS/exp_merge_IROS_5000base-1.json exploration EpsilonGreedyLinear tau 20000 observation_shape [500, 64] history_stack_size 5 network ConvNet3DResidual"

out\HighwayEnv\DQNAgent\train\run_20210219-004329_23932_exp_merge_IROS_5017,"exp_merge_5017 similar to configs/experiments/IROS/exp_merge_IROS_5000base-1.json exploration EpsilonGreedyLinear tau 20000 observation_shape [200, 64] history_stack_size 15 network ConvNet3DResidual"

out\HighwayEnv\DQNAgent\run_20210219-181723_15072_exp_merge_IROS_5004,"exp_merge_5004 similar to configs/experiments/IROS/exp_merge_IROS_5000base-1.json exploration EpsilonGreedyLinear tau 20000 observation_shape [200, 64] history_stack_size 10 network ConvNet3D"

out\HighwayEnv\DQNAgent\test\run_20210219-181725_15072_exp_merge_IROS_5004-test,"exp_merge_5004 similar to configs/experiments/IROS/exp_merge_IROS_5000base-1.json exploration EpsilonGreedyLinear tau 20000 observation_shape [200, 64] history_stack_size 10 network ConvNet3D"

out\HighwayEnv\DQNAgent\run_20210219-181758_20296_exp_merge_IROS_4054,"exp_merge_4054 similar to configs/experiments/IROS/exp_merge_IROS_4000base-1.json exploration EpsilonGreedyLinear tau 20000 observation_shape [200, 64] network ConvNetStanfordMARLRes"

out\HighwayEnv\DQNAgent\test\run_20210219-181800_20296_exp_merge_IROS_4054-test,"exp_merge_4054 similar to configs/experiments/IROS/exp_merge_IROS_4000base-1.json exploration EpsilonGreedyLinear tau 20000 observation_shape [200, 64] network ConvNetStanfordMARLRes"

out\HighwayEnv\DQNAgent\run_20210219-181823_15408_exp_merge_IROS_4017,"exp_merge_4017 similar to configs/experiments/IROS/exp_merge_IROS_4000base-3.json exploration EpsilonGreedy tau 10000 observation_shape [200, 64] network ConvNetAtariDoubleQ"

out\HighwayEnv\DQNAgent\test\run_20210219-181823_15408_exp_merge_IROS_4017-test,"exp_merge_4017 similar to configs/experiments/IROS/exp_merge_IROS_4000base-3.json exploration EpsilonGreedy tau 10000 observation_shape [200, 64] network ConvNetAtariDoubleQ"

out\HighwayEnv\DQNAgent\run_20210219-193654_12044_exp_merge_IROS_4017,"exp_merge_4017 similar to configs/experiments/IROS/exp_merge_IROS_4000base-3.json exploration EpsilonGreedy tau 10000 observation_shape [200, 64] network ConvNetAtariDoubleQ"

out\HighwayEnv\DQNAgent\test\run_20210219-193654_12044_exp_merge_IROS_4017-test,"exp_merge_4017 similar to configs/experiments/IROS/exp_merge_IROS_4000base-3.json exploration EpsilonGreedy tau 10000 observation_shape [200, 64] network ConvNetAtariDoubleQ"

out\HighwayEnv\DQNAgent\run_20210219-193743_17524_exp_merge_IROS_4054,"exp_merge_4054 similar to configs/experiments/IROS/exp_merge_IROS_4000base-1.json exploration EpsilonGreedyLinear tau 20000 observation_shape [200, 64] network ConvNetStanfordMARLRes"

out\HighwayEnv\DQNAgent\test\run_20210219-193743_17524_exp_merge_IROS_4054-test,"exp_merge_4054 similar to configs/experiments/IROS/exp_merge_IROS_4000base-1.json exploration EpsilonGreedyLinear tau 20000 observation_shape [200, 64] network ConvNetStanfordMARLRes"

out\HighwayEnv\DQNAgent\run_20210219-193803_18924_exp_merge_IROS_5004,"exp_merge_5004 similar to configs/experiments/IROS/exp_merge_IROS_5000base-1.json exploration EpsilonGreedyLinear tau 20000 observation_shape [200, 64] history_stack_size 10 network ConvNet3D"

out\HighwayEnv\DQNAgent\test\run_20210219-193804_18924_exp_merge_IROS_5004-test,"exp_merge_5004 similar to configs/experiments/IROS/exp_merge_IROS_5000base-1.json exploration EpsilonGreedyLinear tau 20000 observation_shape [200, 64] history_stack_size 10 network ConvNet3D"

out\HighwayEnv\DQNAgent\run_20210219-193825_18792_exp_merge_IROS_5003,"exp_merge_5003 similar to configs/experiments/IROS/exp_merge_IROS_5000base-1.json exploration EpsilonGreedyLinear tau 20000 observation_shape [200, 64] history_stack_size 5 network ConvNet3D"

out\HighwayEnv\DQNAgent\test\run_20210219-193825_18792_exp_merge_IROS_5003-test,"exp_merge_5003 similar to configs/experiments/IROS/exp_merge_IROS_5000base-1.json exploration EpsilonGreedyLinear tau 20000 observation_shape [200, 64] history_stack_size 5 network ConvNet3D"

out\HighwayEnv\DQNAgent\run_20210219-193923_272_exp_merge_IROS_4011,"exp_merge_4011 similar to configs/experiments/IROS/exp_merge_IROS_4000base-2.json exploration EpsilonGreedyLinear tau 10000 observation_shape [200, 64] network ConvNetAtariDoubleQ"

out\HighwayEnv\DQNAgent\test\run_20210219-193923_272_exp_merge_IROS_4011-test,"exp_merge_4011 similar to configs/experiments/IROS/exp_merge_IROS_4000base-2.json exploration EpsilonGreedyLinear tau 10000 observation_shape [200, 64] network ConvNetAtariDoubleQ"

out\HighwayEnv\DQNAgent\run_20210219-232539_308_exp_merge_IROS_7017,"exp_merge_4017 similar to configs/experiments/IROS/exp_merge_IROS_4000base-3.json exploration EpsilonGreedy tau 10000 observation_shape [200, 64] network ConvNetAtariDoubleQ"

out\HighwayEnv\DQNAgent\test\run_20210219-232540_308_exp_merge_IROS_7017-test,"exp_merge_4017 similar to configs/experiments/IROS/exp_merge_IROS_4000base-3.json exploration EpsilonGreedy tau 10000 observation_shape [200, 64] network ConvNetAtariDoubleQ"

out\HighwayEnv\DQNAgent\run_20210219-232605_22308_exp_merge_IROS_7054,"exp_merge_4054 similar to configs/experiments/IROS/exp_merge_IROS_4000base-1.json exploration EpsilonGreedyLinear tau 20000 observation_shape [200, 64] network ConvNetStanfordMARLRes"

out\HighwayEnv\DQNAgent\test\run_20210219-232606_22308_exp_merge_IROS_7054-test,"exp_merge_4054 similar to configs/experiments/IROS/exp_merge_IROS_4000base-1.json exploration EpsilonGreedyLinear tau 20000 observation_shape [200, 64] network ConvNetStanfordMARLRes"

out\HighwayEnv\DQNAgent\run_20210219-232624_19788_exp_merge_IROS_7003,"exp_merge_5003 similar to configs/experiments/IROS/exp_merge_IROS_5000base-1.json exploration EpsilonGreedyLinear tau 20000 observation_shape [200, 64] history_stack_size 5 network ConvNet3D"

out\HighwayEnv\DQNAgent\test\run_20210219-232625_19788_exp_merge_IROS_7003-test,"exp_merge_5003 similar to configs/experiments/IROS/exp_merge_IROS_5000base-1.json exploration EpsilonGreedyLinear tau 20000 observation_shape [200, 64] history_stack_size 5 network ConvNet3D"

out\HighwayEnv\DQNAgent\run_20210219-232647_21100_exp_merge_IROS_7004,"exp_merge_5004 similar to configs/experiments/IROS/exp_merge_IROS_5000base-1.json exploration EpsilonGreedyLinear tau 20000 observation_shape [200, 64] history_stack_size 10 network ConvNet3D"

out\HighwayEnv\DQNAgent\test\run_20210219-232648_21100_exp_merge_IROS_7004-test,"exp_merge_5004 similar to configs/experiments/IROS/exp_merge_IROS_5000base-1.json exploration EpsilonGreedyLinear tau 20000 observation_shape [200, 64] history_stack_size 10 network ConvNet3D"

out\HighwayEnv\DQNAgent\run_20210219-233125_18452_exp_merge_IROS_7017,"exp_merge_4017 similar to configs/experiments/IROS/exp_merge_IROS_4000base-3.json exploration EpsilonGreedy tau 10000 observation_shape [200, 64] network ConvNetAtariDoubleQ"

out\HighwayEnv\DQNAgent\test\run_20210219-233126_18452_exp_merge_IROS_7017-test,"exp_merge_4017 similar to configs/experiments/IROS/exp_merge_IROS_4000base-3.json exploration EpsilonGreedy tau 10000 observation_shape [200, 64] network ConvNetAtariDoubleQ"

out\HighwayEnv\DQNAgent\run_20210219-233200_2204_exp_merge_IROS_7017,"exp_merge_4017 similar to configs/experiments/IROS/exp_merge_IROS_4000base-3.json exploration EpsilonGreedy tau 10000 observation_shape [200, 64] network ConvNetAtariDoubleQ"

out\HighwayEnv\DQNAgent\test\run_20210219-233201_2204_exp_merge_IROS_7017-test,"exp_merge_4017 similar to configs/experiments/IROS/exp_merge_IROS_4000base-3.json exploration EpsilonGreedy tau 10000 observation_shape [200, 64] network ConvNetAtariDoubleQ"

out\HighwayEnv\DQNAgent\run_20210219-233341_10820_exp_merge_IROS_7017,"exp_merge_4017 similar to configs/experiments/IROS/exp_merge_IROS_4000base-3.json exploration EpsilonGreedy tau 10000 observation_shape [200, 64] network ConvNetAtariDoubleQ"

out\HighwayEnv\DQNAgent\test\run_20210219-233342_10820_exp_merge_IROS_7017-test,"exp_merge_4017 similar to configs/experiments/IROS/exp_merge_IROS_4000base-3.json exploration EpsilonGreedy tau 10000 observation_shape [200, 64] network ConvNetAtariDoubleQ"

out\HighwayEnv\DQNAgent\run_20210219-233748_18472_exp_merge_IROS_7017,"exp_merge_4017 similar to configs/experiments/IROS/exp_merge_IROS_4000base-3.json exploration EpsilonGreedy tau 10000 observation_shape [200, 64] network ConvNetAtariDoubleQ"

out\HighwayEnv\DQNAgent\test\run_20210219-233748_18472_exp_merge_IROS_7017-test,"exp_merge_4017 similar to configs/experiments/IROS/exp_merge_IROS_4000base-3.json exploration EpsilonGreedy tau 10000 observation_shape [200, 64] network ConvNetAtariDoubleQ"

