out/HighwayEnv/DQNAgent/test/train/run_20210123-060906_15851_exp_merge_302-test,exp_merge_302 similar to IEEE_Access/exp_base  cooperative_flag True sympathy_flag False type= highway_env.vehicle.behavior.CustomVehicle cooperative_perception True
out/HighwayEnv/DQNAgent/train/run_20210123-084739_18321_exp_merge_303,exp_merge_303 similar to IEEE_Access/exp_base  cooperative_flag True sympathy_flag False type= highway_env.vehicle.behavior.CustomVehicleAggressive cooperative_perception True
out/HighwayEnv/DQNAgent/test/train/run_20210123-084743_18321_exp_merge_303-test,exp_merge_303 similar to IEEE_Access/exp_base  cooperative_flag True sympathy_flag False type= highway_env.vehicle.behavior.CustomVehicleAggressive cooperative_perception True
out/HighwayEnv/DQNAgent/train/run_20210123-105126_21878_exp_merge_304,exp_merge_304 similar to IEEE_Access/exp_base  cooperative_flag False sympathy_flag False type= highway_env.vehicle.behavior.CustomVehicle cooperative_perception True
out/HighwayEnv/DQNAgent/test/train/run_20210123-105131_21878_exp_merge_304-test,exp_merge_304 similar to IEEE_Access/exp_base  cooperative_flag False sympathy_flag False type= highway_env.vehicle.behavior.CustomVehicle cooperative_perception True
out/HighwayEnv/DQNAgent/test/train/run_20210123-130227_1359_exp_merge_313-test,exp_merge_313 similar to IEEE_Access/exp_base  cooperative_flag False sympathy_flag False type= ControlledVehicle cooperative_perception False
out/HighwayEnv/DQNAgent/train/run_20210123-133618_26136_exp_merge_305,exp_merge_305 similar to IEEE_Access/exp_base  cooperative_flag False sympathy_flag False type= highway_env.vehicle.behavior.CustomVehicleAggressive cooperative_perception True
out/HighwayEnv/DQNAgent/test/train/run_20210123-133626_26136_exp_merge_305-test,exp_merge_305 similar to IEEE_Access/exp_base  cooperative_flag False sympathy_flag False type= highway_env.vehicle.behavior.CustomVehicleAggressive cooperative_perception True
out/HighwayEnv/DQNAgent/test/train/run_20210123-152712_1382_exp_merge_312-test,exp_merge_312 similar to IEEE_Access/exp_base  cooperative_flag False sympathy_flag False type= ControlledVehicle cooperative_perception True
out/HighwayEnv/DQNAgent/train/run_20210123-153407_30875_exp_merge_306,exp_merge_306 similar to IEEE_Access/exp_base  cooperative_flag False sympathy_flag False type= highway_env.vehicle.behavior.CustomVehicle cooperative_perception False
out/HighwayEnv/DQNAgent/test/train/run_20210123-153430_30875_exp_merge_306-test,exp_merge_306 similar to IEEE_Access/exp_base  cooperative_flag False sympathy_flag False type= highway_env.vehicle.behavior.CustomVehicle cooperative_perception False
out/HighwayEnv/DQNAgent/test/train/run_20210123-155045_1360_exp_merge_311-test,exp_merge_311 similar to IEEE_Access/exp_base  cooperative_flag True sympathy_flag False type= ControlledVehicle cooperative_perception True
out/HighwayEnv/DQNAgent/test/train/run_20210123-155836_1379_exp_merge_310-test,exp_merge_310 similar to IEEE_Access/exp_base  cooperative_flag True sympathy_flag True type= ControlledVehicle cooperative_perception True
out/HighwayEnv/DQNAgent/train/run_20210123-174155_10051_exp_merge_307,exp_merge_307 similar to IEEE_Access/exp_base  cooperative_flag False sympathy_flag False type= highway_env.vehicle.behavior.CustomVehicleAggressive cooperative_perception False
out/HighwayEnv/DQNAgent/test/train/run_20210123-174204_10051_exp_merge_307-test,exp_merge_307 similar to IEEE_Access/exp_base  cooperative_flag False sympathy_flag False type= highway_env.vehicle.behavior.CustomVehicleAggressive cooperative_perception False
out/HighwayEnv/DQNAgent/train/run_20210123-222925_27957_exp_merge_307,exp_merge_307 similar to IEEE_Access/exp_base  cooperative_flag False sympathy_flag False type= highway_env.vehicle.behavior.CustomVehicleAggressive cooperative_perception False
out/HighwayEnv/DQNAgent/test/train/run_20210123-222932_27957_exp_merge_307-test,exp_merge_307 similar to IEEE_Access/exp_base  cooperative_flag False sympathy_flag False type= highway_env.vehicle.behavior.CustomVehicleAggressive cooperative_perception False
out/HighwayEnv/DQNAgent/train/run_20210123-225825_28827_exp_merge_326,exp_merge_326 similar to IEEE_Access/exp_merge_300  action_history_type discrete action_history_count 5
out/HighwayEnv/DQNAgent/train/run_20210123-225825_28818_exp_merge_328,exp_merge_328 similar to IEEE_Access/exp_merge_300  action_history_type xy_discrete action_history_count 5
out/HighwayEnv/DQNAgent/train/run_20210123-225825_28819_exp_merge_329,exp_merge_329 similar to IEEE_Access/exp_merge_300  action_history_type xy_discrete action_history_count 15
out/HighwayEnv/DQNAgent/train/run_20210123-225825_28824_exp_merge_327,exp_merge_327 similar to IEEE_Access/exp_merge_300  action_history_type discrete action_history_count 15
out/HighwayEnv/DQNAgent/test/train/run_20210124-114525_28818_exp_merge_328-test,exp_merge_328 similar to IEEE_Access/exp_merge_300  action_history_type xy_discrete action_history_count 5
out/HighwayEnv/DQNAgent/test/train/run_20210124-122452_28827_exp_merge_326-test,exp_merge_326 similar to IEEE_Access/exp_merge_300  action_history_type discrete action_history_count 5
out/HighwayEnv/DQNAgent/test/train/run_20210124-123737_28824_exp_merge_327-test,exp_merge_327 similar to IEEE_Access/exp_merge_300  action_history_type discrete action_history_count 15
out/HighwayEnv/DQNAgent/test/train/run_20210124-124414_28819_exp_merge_329-test,exp_merge_329 similar to IEEE_Access/exp_merge_300  action_history_type xy_discrete action_history_count 15
out\HighwayEnv\DQNAgent\train\run_20210123-213648_21100_exp_merge_323,exp_merge_323 similar to IEEE_Access/exp_merge_300  action_history_type xy_discrete action_history_count 10
out\HighwayEnv\DQNAgent\train\run_20210123-213705_22016_exp_merge_324,exp_merge_324 similar to IEEE_Access/exp_merge_300  action_history_type binary action_history_count 2
out\HighwayEnv\DQNAgent\train\run_20210123-213726_9468_exp_merge_325,exp_merge_325 similar to IEEE_Access/exp_merge_300  action_history_type binary action_history_count 10
out\HighwayEnv\DQNAgent\test\train\run_20210124-132650_22016_exp_merge_324-test,exp_merge_324 similar to IEEE_Access/exp_merge_300  action_history_type binary action_history_count 2
out\HighwayEnv\DQNAgent\test\train\run_20210124-134056_21100_exp_merge_323-test,exp_merge_323 similar to IEEE_Access/exp_merge_300  action_history_type xy_discrete action_history_count 10
out\HighwayEnv\DQNAgent\test\train\run_20210124-154628_9468_exp_merge_325-test,exp_merge_325 similar to IEEE_Access/exp_merge_300  action_history_type binary action_history_count 10
out\HighwayEnv\DQNAgent\train\run_20210124-194226_24156_exp_merge_1100,exp_merge_1100 similar to IEEE_Access/exp_base  cooperative_flag True sympathy_flag Trueinitial_position= 90 and speed= 21
out\HighwayEnv\DQNAgent\train\run_20210124-194240_22248_exp_merge_1101,exp_merge_1101 similar to IEEE_Access/exp_base  cooperative_flag True sympathy_flag Trueinitial_position= 90 and speed= 23
out\HighwayEnv\DQNAgent\train\run_20210124-194252_20800_exp_merge_1102,exp_merge_1102 similar to IEEE_Access/exp_base  cooperative_flag True sympathy_flag Trueinitial_position= 90 and speed= 25
out\HighwayEnv\DQNAgent\train\run_20210124-194303_16912_exp_merge_1103,exp_merge_1103 similar to IEEE_Access/exp_base  cooperative_flag True sympathy_flag Trueinitial_position= 90 and speed= 27
out\HighwayEnv\DQNAgent\test\run_20210125-000124_24156_exp_merge_1100-test,exp_merge_1100 similar to IEEE_Access/exp_base  cooperative_flag True sympathy_flag Trueinitial_position= 90 and speed= 21
out\HighwayEnv\DQNAgent\test\run_20210125-001240_22248_exp_merge_1101-test,exp_merge_1101 similar to IEEE_Access/exp_base  cooperative_flag True sympathy_flag Trueinitial_position= 90 and speed= 23
out\HighwayEnv\DQNAgent\test\run_20210125-001849_20800_exp_merge_1102-test,exp_merge_1102 similar to IEEE_Access/exp_base  cooperative_flag True sympathy_flag Trueinitial_position= 90 and speed= 25
out\HighwayEnv\DQNAgent\test\run_20210125-002731_16912_exp_merge_1103-test,exp_merge_1103 similar to IEEE_Access/exp_base  cooperative_flag True sympathy_flag Trueinitial_position= 90 and speed= 27
out/HighwayEnv/DQNAgent/train/run_20210124-204905_15760_exp_merge_1106,exp_merge_1106 similar to IEEE_Access/exp_base  cooperative_flag True sympathy_flag Trueinitial_position= 95 and speed= 25
out/HighwayEnv/DQNAgent/train/run_20210124-204905_15761_exp_merge_1110,exp_merge_1110 similar to IEEE_Access/exp_base  cooperative_flag True sympathy_flag Trueinitial_position= 100 and speed= 25
out/HighwayEnv/DQNAgent/train/run_20210124-204905_15789_exp_merge_1111,exp_merge_1111 similar to IEEE_Access/exp_base  cooperative_flag True sympathy_flag Trueinitial_position= 100 and speed= 27
out/HighwayEnv/DQNAgent/train/run_20210124-204905_15781_exp_merge_1105,exp_merge_1105 similar to IEEE_Access/exp_base  cooperative_flag True sympathy_flag Trueinitial_position= 95 and speed= 23
out/HighwayEnv/DQNAgent/train/run_20210124-204905_15786_exp_merge_1104,exp_merge_1104 similar to IEEE_Access/exp_base  cooperative_flag True sympathy_flag Trueinitial_position= 95 and speed= 21
out/HighwayEnv/DQNAgent/train/run_20210124-204905_15775_exp_merge_1108,exp_merge_1108 similar to IEEE_Access/exp_base  cooperative_flag True sympathy_flag Trueinitial_position= 100 and speed= 21
out/HighwayEnv/DQNAgent/train/run_20210124-204905_15778_exp_merge_1107,exp_merge_1107 similar to IEEE_Access/exp_base  cooperative_flag True sympathy_flag Trueinitial_position= 95 and speed= 27
out/HighwayEnv/DQNAgent/train/run_20210124-204905_15766_exp_merge_1109,exp_merge_1109 similar to IEEE_Access/exp_base  cooperative_flag True sympathy_flag Trueinitial_position= 100 and speed= 23
out/HighwayEnv/DQNAgent/test/run_20210125-024618_15786_exp_merge_1104-test,exp_merge_1104 similar to IEEE_Access/exp_base  cooperative_flag True sympathy_flag Trueinitial_position= 95 and speed= 21
out/HighwayEnv/DQNAgent/test/run_20210125-025706_15775_exp_merge_1108-test,exp_merge_1108 similar to IEEE_Access/exp_base  cooperative_flag True sympathy_flag Trueinitial_position= 100 and speed= 21
